Years,GDP,Export,Import
1960,72328047042,14616021507,15617572733
1961,76694360636,15258543541,15522854822
1962,80601939635,15655395385,15815127026
1963,85443766670,16511191129,16851607900
1964,93387598814,17491172418,19076116871
1965,100596000000,18622333929,19509114056
1966,107091000000,20082873495,20239775212
1967,111185000000,20542668837,21697473493
1968,104703000000,21672959116,22507195655
1969,112677000000,24206781923,23743551743
1970,130672000000,27902526038,26851654428
1971,148114000000,31746917742,29800489900
1972,169965000000,34341107642,34533986264
1973,192538000000,42319966193,46726319206
1974,206131000000,54134726975,63913005143
1975,241757000000,60131751770,64182355531
1976,232615000000,63803000539,66371104942
1977,263066000000,76429436072,74631432409
1978,335883000000,92132689166,87814120038
1979,438994000000,117693000000,116131000000
1980,564948000000,147244000000,135165000000
1981,540766000000,137574000000,122614000000
1982,515049000000,129280000000,119677000000
1983,489618000000,123517000000,118897000000
1984,461487000000,124457000000,124719000000
1985,489285000000,133643000000,128330000000
1986,601453000000,146317000000,149846000000
1987,745163000000,177766000000,184580000000
1988,910123000000,195530000000,224667000000
1989,926885000000,203357000000,236491000000
1990,1093170000000,247135000000,266964000000
1991,1142800000000,250225000000,254445000000
1992,1179660000000,262046000000,270309000000
1993,1061390000000,255402000000,259162000000
1994,1140490000000,288205000000,288446000000
1995,1335860000000,335938000000,332282000000
1996,1409410000000,362579000000,360200000000
1997,1553620000000,394610000000,387051000000
1998,1641670000000,390995000000,402224000000
1999,1668270000000,395193000000,419186000000
2000,1648270000000,410608000000,441964000000
2001,1625800000000,400967000000,440007000000
2002,1773020000000,420640000000,470529000000
2003,2043830000000,479922000000,528824000000
2004,2403610000000,562783000000,624328000000
2005,2525010000000,623696000000,687391000000
2006,2697150000000,720721000000,783939000000
2007,3084120000000,766977000000,837045000000
2008,2904040000000,776502000000,848195000000
2009,2394790000000,626295000000,670422000000
2010,2452900000000,690824000000,745065000000
2011,2634900000000,802152000000,831750000000
2012,2676610000000,797322000000,837755000000
2013,2753570000000,818443000000,863836000000
2014,3034730000000,856124000000,904953000000
2015,2896420000000,793849000000,835074000000
2016,2659240000000,752005000000,793709000000
2017,2637870000000,794771000000,825573000000
2018,2825210000000,845888000000,887203000000
