Years,Interest rates Mortgages 3 years (%)
31/12/2015,3.13
30/11/2015,3.17
31/10/2015,3.2
30/09/2015,3.24
31/08/2015,3.29
31/07/2015,3.31
30/06/2015,3.34
31/05/2015,3.39
30/04/2015,3.4
31/03/2015,3.45
28/02/2015,3.47
31/01/2015,3.48
31/12/2014,3.51
30/11/2014,3.54
31/10/2014,3.56
30/09/2014,3.61
31/08/2014,3.65
31/07/2014,3.69
30/06/2014,3.74
31/05/2014,3.78
30/04/2014,3.83
31/03/2014,3.9
28/02/2014,3.93
31/01/2014,3.97
31/12/2013,4.03
30/11/2013,4.08
31/10/2013,4.13
30/09/2013,4.2
31/08/2013,4.28
31/07/2013,4.33
30/06/2013,4.39
31/05/2013,4.43
30/04/2013,4.47
31/03/2013,4.52
28/02/2013,4.57
31/01/2013,4.58
31/12/2012,4.38
30/11/2012,4.41
31/10/2012,4.44
30/09/2012,4.51
31/08/2012,4.49
31/07/2012,4.51
30/06/2012,4.51
31/05/2012,4.52
30/04/2012,4.51
31/03/2012,4.52
29/02/2012,4.54
31/01/2012,4.58
31/12/2011,4.65
30/11/2011,4.69
31/10/2011,4.81
30/09/2011,4.87
31/08/2011,4.89
31/07/2011,4.94
30/06/2011,4.96
31/05/2011,5.05
30/04/2011,5.08
31/03/2011,5.09
28/02/2011,5.12
31/01/2011,5.13
