Années,Valeurs
1960,14616021507
1961,15258543541
1962,15655395385
1963,16511191129
1964,17491172418
1965,18622333929
1966,20082873495
1967,20542668837
1968,21672959116
1969,24206781923
1970,27902526038
1971,31746917742
1972,34341107642
1973,42319966193
1974,54134726975
1975,60131751770
1976,63803000539
1977,76429436072
1978,92132689166
1979,117693000000
1980,147244000000
1981,137574000000
1982,129280000000
1983,123517000000
1984,124457000000
1985,133643000000
1986,146317000000
1987,177766000000
1988,195530000000
1989,203357000000
1990,247135000000
1991,250225000000
1992,262046000000
1993,255402000000
1994,288205000000
1995,335938000000
1996,362579000000
1997,394610000000
1998,390995000000
1999,395193000000
2000,410608000000
2001,400967000000
2002,420640000000
2003,479922000000
2004,562783000000
2005,623696000000
2006,720721000000
2007,766977000000
2008,776502000000
2009,626295000000
2010,690824000000
2011,802152000000
2012,797322000000
2013,818443000000
2014,856124000000
2015,793849000000
2016,752005000000
2017,794771000000
2018,845888000000
