Années,Valeurs
1960,72328047042
1961,76694360636
1962,80601939635
1963,85443766670
1964,93387598814
1965,100596000000
1966,107091000000
1967,111185000000
1968,104703000000
1969,112677000000
1970,130672000000
1971,148114000000
1972,169965000000
1973,192538000000
1974,206131000000
1975,241757000000
1976,232615000000
1977,263066000000
1978,335883000000
1979,438994000000
1980,564948000000
1981,540766000000
1982,515049000000
1983,489618000000
1984,461487000000
1985,489285000000
1986,601453000000
1987,745163000000
1988,910123000000
1989,926885000000
1990,1093170000000
1991,1142800000000
1992,1179660000000
1993,1061390000000
1994,1140490000000
1995,1335860000000
1996,1409410000000
1997,1553620000000
1998,1641670000000
1999,1668270000000
2000,1648270000000
2001,1625800000000
2002,1773020000000
2003,2043830000000
2004,2403610000000
2005,2525010000000
2006,2697150000000
2007,3084120000000
2008,2904040000000
2009,2394790000000
2010,2452900000000
2011,2634900000000
2012,2676610000000
2013,2753570000000
2014,3034730000000
2015,2896420000000
2016,2659240000000
2017,2637870000000
2018,2825210000000
