Années,Valeurs
1960,15617572733
1961,15522854822
1962,15815127026
1963,16851607900
1964,19076116871
1965,19509114056
1966,20239775212
1967,21697473493
1968,22507195655
1969,23743551743
1970,26851654428
1971,29800489900
1972,34533986264
1973,46726319206
1974,63913005143
1975,64182355531
1976,66371104942
1977,74631432409
1978,87814120038
1979,116131000000
1980,135165000000
1981,122614000000
1982,119677000000
1983,118897000000
1984,124719000000
1985,128330000000
1986,149846000000
1987,184580000000
1988,224667000000
1989,236491000000
1990,266964000000
1991,254445000000
1992,270309000000
1993,259162000000
1994,288446000000
1995,332282000000
1996,360200000000
1997,387051000000
1998,402224000000
1999,419186000000
2000,441964000000
2001,440007000000
2002,470529000000
2003,528824000000
2004,624328000000
2005,687391000000
2006,783939000000
2007,837045000000
2008,848195000000
2009,670422000000
2010,745065000000
2011,831750000000
2012,837755000000
2013,863836000000
2014,904953000000
2015,835074000000
2016,793709000000
2017,825573000000
2018,887203000000
