Years,Mortgages (Million of Livre)
01/10/1986,2159.4
01/11/1986,1962.9
01/12/1986,2007.7
01/01/1987,2041.6
01/02/1987,1923.5
01/03/1987,1664.9
01/04/1987,2124.8
01/05/1987,1972.8
01/06/1987,1911.4
01/07/1987,2274.1
01/08/1987,1993.4
01/09/1987,2208.4
01/10/1987,2144.8
01/11/1987,2404.8
01/12/1987,2415.4
01/01/1988,2472.2
01/02/1988,2572.8
01/03/1988,2927
01/04/1988,2883
01/05/1988,2991.8
01/06/1988,3125.3
01/07/1988,3565.6
01/08/1988,3445.3
01/09/1988,2985.1
01/10/1988,2642.8
01/11/1988,2570.3
01/12/1988,2520.9
01/01/1989,2554.2
01/02/1989,2538.1
01/03/1989,2486.7
01/04/1989,2330.3
01/05/1989,2450.8
01/06/1989,2771.6
01/07/1989,2510.6
01/08/1989,2670.3
01/09/1989,3005.1
01/10/1989,2926.5
01/11/1989,2844.2
01/12/1989,3189.3
01/01/1990,2866.6
01/02/1990,3024.6
01/03/1990,2970.8
01/04/1990,2915.2
01/05/1990,2825.5
01/06/1990,2753.3
01/07/1990,2721.7
01/08/1990,2615.4
01/09/1990,2603.8
01/10/1990,2774
01/11/1990,2824
01/12/1990,2485
01/01/1991,2469.3
01/02/1991,2397.6
01/03/1991,2497.1
01/04/1991,2264.7
01/05/1991,2318.9
01/06/1991,2203.4
01/07/1991,2166.9
01/08/1991,2117.3
01/09/1991,2054.9
01/10/1991,1880.3
01/11/1991,2047.8
01/12/1991,1702.9
01/01/1992,2010.1
01/02/1992,1883.1
01/03/1992,1618.8
01/04/1992,1772.2
01/05/1992,1583.7
01/06/1992,1500.1
01/07/1992,1811.9
01/08/1992,1914.1
01/09/1992,1081.1
01/10/1992,1037
01/11/1992,808
01/12/1992,1437
01/01/1993,1174.3
01/02/1993,1102.3
01/03/1993,1048.3
01/04/1993,1179
01/05/1993,1371
01/06/1993,1152
01/07/1993,1346
01/08/1993,1173
01/09/1993,1696
01/10/1993,1660
01/11/1993,1508
01/12/1993,1458
01/01/1994,1468
01/02/1994,1376
01/03/1994,1638
01/04/1994,1610
01/05/1994,1493
01/06/1994,1717
01/07/1994,1813
01/08/1994,1557
01/09/1994,1423
01/10/1994,1515
01/11/1994,1455
01/12/1994,1498
01/01/1995,1420
01/02/1995,1460
01/03/1995,1327
01/04/1995,1353
01/05/1995,1172
01/06/1995,1166
01/07/1995,950
01/08/1995,915
01/09/1995,1409
01/10/1995,1012
01/11/1995,1024
01/12/1995,1226
01/01/1996,1359
01/02/1996,1260.5
01/03/1996,1426
01/04/1996,1243
01/05/1996,1445
01/06/1996,1633
01/07/1996,1249
01/08/1996,1425
01/09/1996,1661
01/10/1996,1797
01/11/1996,1884
01/12/1996,1944
01/01/1997,1787
01/02/1997,1920
01/03/1997,2110
01/04/1997,1613
01/05/1997,2017
01/06/1997,1974
01/07/1997,1605
01/08/1997,1901
01/09/1997,1924
01/10/1997,1823
01/11/1997,1844
01/12/1997,1822
01/01/1998,1927
01/02/1998,1926
01/03/1998,1803
01/04/1998,1945
01/05/1998,1954
01/06/1998,2051
01/07/1998,2287
01/08/1998,2032
01/09/1998,1984
01/10/1998,2020
01/11/1998,1970
01/12/1998,2144
01/01/1999,2267
01/02/1999,2280
01/03/1999,3105
01/04/1999,3007
01/05/1999,2861
01/06/1999,2908
01/07/1999,3334
01/08/1999,3067
01/09/1999,3328
01/10/1999,3730
01/11/1999,3022
01/12/1999,3193
01/01/2000,3261
01/02/2000,2922
01/03/2000,3632
01/04/2000,3263
01/05/2000,3224
01/06/2000,3714
01/07/2000,2772
01/08/2000,3177
01/09/2000,2926
01/10/2000,3008
01/11/2000,3325
01/12/2000,3620
01/01/2001,3676
01/02/2001,3702
01/03/2001,3833
01/04/2001,4042
01/05/2001,4808
01/06/2001,4267
01/07/2001,4560
01/08/2001,4915
01/09/2001,4356
01/10/2001,4546
01/11/2001,4730
01/12/2001,4783
01/01/2002,4976
01/02/2002,5319
01/03/2002,5674
01/04/2002,5819
01/05/2002,6414
01/06/2002,6411
01/07/2002,6195
01/08/2002,6777
01/09/2002,6895
01/10/2002,7721
01/11/2002,7255
01/12/2002,7356
01/01/2003,7697
01/02/2003,7243
01/03/2003,7433
01/04/2003,7349
01/05/2003,7507
01/06/2003,7712
01/07/2003,8467
01/08/2003,7877
01/09/2003,9615
01/10/2003,10261
01/11/2003,8936
01/12/2003,8895
01/01/2004,9128
01/02/2004,8986
01/03/2004,8962
01/04/2004,9225
01/05/2004,8454
