Years,Variations Inflation (%) 
1960,
1961,245
1962,21.74
1963,-51.9
1964,62.38
1965,45.43
1966,-18.03
1967,-36.57
1968,89.52
1969,15.96
1970,16.88
1971,48.19
1972,-25.11
1973,30.13
1974,74.35
1975,50.94
1976,-31.6
1977,-4.35
1978,-47.85
1979,62.47
1980,33.9
1981,-33.89
1982,-27.61
1983,-46.4
1984,7.59
1985,22.38
1986,-43.49
1987,20.99
1988,0.24
1989,38.46
1990,39.93
1991,-7.44
1992,-38.47
1993,-44.23
1994,-13.28
1995,21.62
1996,5.56
1997,-22.81
1998,-17.27
1999,-3.85
2000,-32.57
2001,29.66
2002,-0.65
2003,-9.21
2004,0.72
2005,50.36
2006,17.7
2007,-2.85
2008,47.28
2009,-44.32
2010,27.04
2011,55.02
2012,-33.42
2013,-10.89
2014,-36.68
2015,-74.48
2016,172.97
2017,153.47
2018,-10.55
