"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1965",11.465,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1966",11.839,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1967",12.013,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1968",12.145,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1969",11.82,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1970",10.98,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1971",10.144,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1972",10.854,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1973",9.853,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1974",8.459,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1975",8.849,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1976",8.761,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1977",8.579,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1978",8.402,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1979",8.046,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1980",7.786,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1981",7.274,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1982",7.238,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1983",7.919,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1984",7.765,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1985",7.831,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1986",8.071,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1987",9.153,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1988",9.697,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1989",8.831,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1990",8.95,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","1991",9.775,
