MonthYear;GDP;Export;Import;Inflation;Variations Inflation (%) ;Interest rate on bank loans;Variations Interest rates on bank loans(%);Government Spending (% of GDP);HouseHold Taxes;Debt to Income Ratio (%);New mortgages ;Part of mortgage already paid;Mortgages (Million of Livre);Corporation tax Rate;Household Tax Rate;Deposits for households;Interest rates on government bonds;Housing wealth;Residential mortgage LTV ratio (%);Housing stock;Annual business investment (million livre);% growth;Private pension wealth (billion Livres);Total wealth (billion Livres);UK National debt en % de GDP;UK National debt en Livres;Nominal demand for GB (ICPF);Nominal demand for GB (Rest of the World ou Overseas);Nominal demand for GB (CB);Interest rates on deposits (%);UK government bonds issued by Central Government (in sterling millions);Interest rates Mortgages 3 years (%);Bank bond supply ;Government transfer to households;% of net disposable income;Annuities ;Bank Dividend (in sterling millions)
1880-01-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-02-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-03-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-04-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-05-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-06-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-07-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-08-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-09-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-10-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-11-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880-12-01;;;;;;;;8.465689999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-01-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-02-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-03-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-04-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-05-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-06-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-07-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-08-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-09-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881-10-01;;;;;;;;9.22258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
