MonthYear,GDP,Export,Import,Inflation,Variations Inflation (%),Interest rate on bank loans,Variations Interest rates on bank loans(%),Government Spending (% of GDP),HouseHold Taxes,Debt to Income Ratio (%),New mortgages ,Part of mortgage already paid,Mortgages (Million of Livre),Corporation tax Rate,Household Tax Rate,Deposits for households,Interest rates on government bonds,Housing wealth,Residential mortgage LTV ratio (%),Housing stock,Annual business investment (million livre),% growth,Private pension wealth (billion Livres),Total wealth (billion Livres),UK National debt en % de GDP,UK National debt en Livres,Nominal demand for GB (ICPF),Nominal demand for GB (Rest of the World ou Overseas),Nominal demand for GB (CB),Interest rates on deposits (%),UK government bonds issued by Central Government (in sterling millions),Interest rates Mortgages 3 years (%),Bank bond supply ,Government transfer to households,% of net disposable income,Annuities ,Bank Dividend (in sterling millions)
2000-01-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,71.1,,3261.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-02-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,70.23,,2922.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-03-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,92.0,71.87,790.0,3632.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-04-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,71.9,,3263.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-05-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,74.0,,3224.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-06-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,92.9,88.32,3264.0,3714.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-07-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,86.97,,2772.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-08-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,85.6,,3177.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-09-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,93.2,84.63,3254.0,2926.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-10-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,76.23,,3008.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-11-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,83.54,,3325.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-12-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,93.5,89.79,1991.0,3620.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2001-01-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,,89.42,,3676.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
2001-02-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,,81.89,,3702.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
2001-03-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,93.9,89.13,2082.0,3833.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
2001-04-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,,87.5,,4042.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
2001-05-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,,81.31,,4808.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
2001-06-01,135483333333.33333,33413916666.666668,36667250000.0,1.53,29.66,4.27,13.26,42.49218,11.481,95.5,80.36,5676.0,4267.0,0.3,0.4,21389833333.333332,,,,,12395.416666666666,-6.6,,,31.0,41999833333.333336,11339955000.0,9659961666.666666,9659961666.666666,,,,27.916666666666668,10703183333.333334,415.4774,,841.0
