Date,GDP,Export,Import,Inflation,Variations Inflation (%),Interest rate on bank loans,Variations Interest rates on bank loans(%),Government Spending (% of GDP),HouseHold Taxes,Debt to Income Ratio (%),New mortgages ,Part of mortgage already paid,Mortgages (Million of Livre),Corporation tax Rate,Household Tax Rate,Deposits for households,Interest rates on government bonds,Housing wealth,Residential mortgage LTV ratio (%),Housing stock,Annual business investment (million livre),% growth,Private pension wealth (billion Livres),Total wealth (billion Livres),UK National debt en % de GDP,UK National debt en Livres,Nominal demand for GB (ICPF),Nominal demand for GB (Rest of the World ou Overseas),Nominal demand for GB (CB),Interest rates on deposits (%),UK government bonds issued by Central Government (in sterling millions),Interest rates Mortgages 3 years (%),Bank bond supply ,Government transfer to households,% of net disposable income,Annuities ,Bank Dividend (in sterling millions)
1995-01-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1420.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-02-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1460.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-03-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.5,,-1517.0,1327.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-04-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1353.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-05-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1172.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-06-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.2,,-1784.0,1166.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-07-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,950.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-08-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,915.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-09-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.2,,-1765.0,1409.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-10-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1012.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
